x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0.000847815,-0.000281172,-1.27E-05,5.20E-05,1.73E-05,0.00087465,-0.000966798,-0.000720939,-0.000207944,-0.000149865,8.51E-05,-0.000233489
0.00165547,-0.002228705,0.000157101,4.55E-05,1.46E-05,-0.000664722,-0.000772447,-0.000641895,-0.000558807,0.000154823,2.94E-05,0.000233988
0.002510641,-0.002496522,0.000210369,6.29E-05,2.26E-05,-0.003631654,-0.001222504,-0.000754186,-0.001551108,0.000432966,7.54E-05,0.000629751
0.003707455,-0.002884116,0.000272351,8.24E-05,3.41E-05,-0.009689831,-0.001565841,-0.000553505,-0.004156357,0.000987599,0.000108583,0.001531307
0.005215363,-0.003065756,0.000330319,0.000103758,4.80E-05,-0.018697731,-0.001682892,0.000120906,-0.0104684,0.00191752,0.000153228,0.003271927
0.007105985,-0.002908592,0.00039871,0.000124382,6.15E-05,-0.030474786,-0.001322081,0.001514787,-0.024427143,0.003327562,0.000217663,0.006274358
0.009453717,-0.002268273,0.000471293,0.000140253,7.05E-05,-0.044739321,-0.000156749,0.003876314,-0.052476546,0.005289914,0.000316429,0.011012292
0.012222307,-0.000970628,0.00055506,0.000149061,7.01E-05,-0.061702369,0.002149223,0.00743806,-0.103515666,0.007835207,0.000467134,0.017979528
0.015334902,0.00123082,0.000662331,0.000143881,5.26E-05,-0.082271393,0.00588334,0.012375946,-0.187793732,0.010976084,0.000691763,0.027650349
0.018744911,0.004677233,0.000797012,0.000107622,5.38E-06,-0.108321322,0.01128844,0.018729916,-0.314878228,0.01475617,0.001016191,0.040537483
0.021548877,0.009602488,0.00099806,6.51E-06,-0.000102013,-0.153368785,0.018979974,0.02587181,-0.457092643,0.020218248,0.001388363,0.058994273
0.0236838,0.016866487,0.001261447,-0.000202467,-0.000313081,-0.224944656,0.029954207,0.033899324,-0.612857407,0.027515141,0.001858024,0.08439383
0.024790485,0.026504211,0.00157195,-0.000367804,-0.000504668,-0.324296878,0.04363669,0.041919853,-0.787181412,0.036489235,0.00239241,0.116912699
0.023826732,0.040896631,0.001977666,-0.000413166,-0.000599843,-0.476867739,0.06160654,0.049248182,-0.980627535,0.048189224,0.003057094,0.160339973
0.023026318,0.054937675,0.002359106,-0.000455465,-0.000696025,-0.638383875,0.080967015,0.05659077,-1.208085435,0.060269363,0.00361612,0.208673856
0.014233165,0.075900127,0.002867847,-0.000493907,-0.000790684,-0.770094424,0.097361113,0.052923155,-1.492033388,0.075356858,0.00378877,0.26648843
-0.003219994,0.108576052,0.003585475,-0.000526915,-0.000879931,-0.918185306,0.113530027,0.037663501,-1.819717449,0.095614559,0.003812474,0.342194319
-0.038376962,0.165376444,0.004728812,-0.000552734,-0.000959323,-1.083120681,0.126672739,-0.002578825,-2.204403199,0.126041702,0.003524093,0.450973636
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-0.04470945,9.545969303,0.095140568,-0.000505203,-0.001300471,-12.74409184,-0.716685899,-0.429428761,-41.09552488,-0.047569732,-0.121103222,-2.354773415
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN